"ride_id","rideable_type","started_at","ended_at","start_station_name","start_station_id","end_station_name","end_station_id","member_casual"
"973BA1B1009874CE","classic_bike",2022-05-28 13:41:38,2022-05-28 13:41:38,"Dusable Harbor","KA1503000064","Dusable Harbor","KA1503000064","casual"
"922449D12A8AAAD0","classic_bike",2022-05-13 08:51:02,2022-05-13 08:51:02,"Larrabee St & Kingsbury St","TA1306000009","Larrabee St & Kingsbury St","TA1306000009","member"
"3E0DB0D42F201E52","classic_bike",2022-05-14 13:05:37,2022-05-14 13:05:37,"Green St & Randolph St","13053","Green St & Randolph St","13053","casual"
"7D241D41D9AF9D45","classic_bike",2022-05-19 17:29:20,2022-05-19 17:29:20,"Green St & Randolph St","13053","Green St & Randolph St","13053","casual"
"DD61774914767BE9","electric_bike",2022-05-15 15:46:09,2022-05-15 15:46:09,"900 W Harrison St","13028","900 W Harrison St","13028","member"
"6446B761A13A3DA7","electric_bike",2022-05-29 15:18:19,2022-05-29 15:18:19,"Ellis Ave & 60th St","KA1503000014","Ellis Ave & 60th St","KA1503000014","casual"
"973DB243BC685C7D","electric_bike",2022-05-07 12:40:02,2022-05-07 12:40:02,"Damen Ave & Chicago Ave","13132",NA,NA,"casual"
"6EB95EA5BEE66F91","electric_bike",2022-05-18 15:34:03,2022-05-18 15:34:03,"Ogden Ave & Race Ave","13194",NA,NA,"casual"
"76D2B6E342C765BF","electric_bike",2022-05-11 08:59:01,2022-05-11 08:59:01,"Monticello Ave & Irving Park Rd","KA1504000139",NA,NA,"casual"
"0793C9208A64302A","electric_bike",2022-05-30 11:06:29,2022-05-30 11:06:17,"Broadway & Waveland Ave","13325",NA,NA,"casual"
"1CEBB7C204E7D100","electric_bike",2022-05-10 16:37:39,2022-05-10 16:37:39,"Kilbourn Ave & Milwaukee Ave","16994",NA,NA,"member"
"87516A754110E14B","electric_bike",2022-05-27 15:28:09,2022-05-27 15:28:09,"Racine Ave & Wrightwood Ave","TA1309000059",NA,NA,"casual"
"B81E1ABE871B4CA8","electric_bike",2022-05-24 16:43:36,2022-05-24 16:43:36,"Kedzie Ave & Milwaukee Ave","13085",NA,NA,"casual"
"EFCC74385BA4095E","electric_bike",2022-05-21 10:29:04,2022-05-21 10:29:04,"Dearborn St & Erie St","13045",NA,NA,"casual"
"12D2982D34D66C38","electric_bike",2022-05-12 22:43:55,2022-05-12 22:43:55,"Clark St & Schiller St","TA1309000024",NA,NA,"casual"
"221B5717AB8BB234","electric_bike",2022-05-15 16:46:45,2022-05-15 16:46:45,"Harper Ave & 59th St","KA1503000070",NA,NA,"member"
"B85E89FC9DD2558D","electric_bike",2022-06-16 20:33:57,2022-06-16 20:33:57,"Elston Ave & Wabansia Ave","TA1309000032","Elston Ave & Wabansia Ave","TA1309000032","member"
